year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y
2017;7;10;7;19.6;701.0;;;;;;0.8053428035568582;-0.5928093865309318;-0.7067899381143499;-0.7074234823500797;11.1111111111111;52.0;100.0;29.62;4.015035054457322;5.7340643100229425
2017;7;10;8;19.9;679.0;25.4;28.3;316.0;;;0.6622225077130592;-0.7493072469142597;-0.9140436554462498;-0.4056158230868926;11.6666666666666;52.0;97.0;29.65;2.907171218268185;7.987387276680221
2017;7;10;9;19.8;666.0;22.2;24.5;;;;0.9941024133507298;0.10844534001170715;-0.984820624983965;-0.17357516125930106;12.2222222222222;52.0;94.0;29.65;3.0781812899310195;8.457233587073175
2017;7;10;10;19.8;648.0;20.4;21.9;;;;0.9946162156991976;-0.10362713673650939;-0.9812920186287297;0.19252525594205216;12.2222222222222;52.0;94.0;29.65;5.250000000000001;9.093266739736606
2017;7;10;11;19.8;641.0;19.6;20.7;316.0;;;0.9503971543563174;-0.31103898307352734;-0.9060556321606122;0.4231585889829408;12.5;53.0;94.0;29.65;2.847009496127728;10.62518408917975
2017;7;10;12;19.8;657.0;19.4;20.3;;;;0.8024608871877055;0.5967047213940246;-0.6930230988850696;0.7209153795083962;12.5;52.0;91.0;29.62;2.907171218268185;7.987387276680221
2017;7;10;13;19.8;659.0;19.5;20.4;;;;0.9102471364299834;0.41406539413601695;-0.4990311300264636;0.8665840589720716;12.2222222222222;52.0;94.0;29.62;2.3293714059226867;8.693332436601615
2017;7;10;14;19.8;656.0;19.2;20.0;;;;0.9770950212693262;0.21280347603057378;-0.15367531123726558;0.9881213987745279;12.2222222222222;50.0;88.0;29.62;3.4202014332566884;9.396926207859083
2017;7;10;15;19.8;665.0;19.0;19.9;;;;0.390043354194747;0.9207964931777874;0.08878990165705458;0.9960503769206307;12.7777777777777;50.0;82.0;29.62;1.7364817766693041;9.84807753012208
2017;7;10;16;19.8;667.0;19.0;19.6;316.0;;;0.5754474988395052;0.8178387225360252;0.44134828755210687;0.897335884201018;13.8888888888888;50.0;77.0;29.62;1.5628335990023738;8.863269777109872
