year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y
2017;2;9;11;14.0;535.0;11.6;9.5;670.0;;;0.7912879021165435;-0.6114437471787568;-0.7070674056718614;0.707146154508715;3.33333333333333;30.0;72.5;30.3;-3.9999999999999982;6.92820323027551
2017;10;2;10;16.7;629.0;13.3;13.4;;15.5;14.8;-0.6380313606016302;0.7700103784292991;0.6306780634831584;0.776044573617478;12.7777777777777;50.0;82.0;29.33;-5.305790424601673;-19.8014794389259
2017;10;2;11;17.4;619.0;13.5;13.5;;15.9;15.2;-0.9970510270543361;-0.07674144545090086;0.7989939435374444;0.601339070899674;13.8888888888888;49.0;74.5;29.375;-3.038843109171281;-17.234135677713642
2017;10;2;12;17.8;603.0;13.7;13.9;;16.3;15.4;-0.9908128850488475;0.13523988620661914;0.9618850145814369;0.2734542351540177;14.4444444444444;46.0;65.0;29.405;-3.646611731005537;-20.680962813256368
2017;10;2;13;17.8;593.0;13.8;14.0;;16.5;15.7;-0.940012934145679;0.3411388040649017;0.999429218338197;0.0337822073272388;13.8888888888888;47.0;69.5;29.435;-1.394491883962532;-15.939115169467929
2017;10;2;14;17.5;593.0;14.1;14.3;;16.5;15.8;-0.8210512053955268;-0.570854550755753;0.9446057450853282;-0.3282072308036369;13.8888888888888;46.0;67.0;29.45;-3.125667198004746;-17.726539554219745
2017;10;2;15;17.3;596.0;14.3;14.5;;16.5;15.8;-0.9229681860104102;-0.384876249738345;0.8377761917614324;-0.5460137841828827;13.3333333333333;46.0;69.5;29.47;-3.038843109171281;-17.234135677713642
2017;10;2;16;17.1;597.0;14.3;14.5;;16.5;15.8;-0.9833746730252769;-0.18158813962489329;0.6816416260988525;-0.7316861988375291;12.5;46.0;74.5;29.5;-2.5178985761704897;-14.279712418677017
2017;10;2;17;16.9;598.0;14.0;14.1;;16.4;15.6;-0.4191607398133737;-0.9079120410034803;0.3726009620677564;-0.9279916610973303;12.2222222222222;46.0;77.0;29.515;-5.130302149885041;-14.095389311788622
2017;10;2;18;16.7;598.0;13.8;13.8;;16.0;15.5;-0.6011930664469634;-0.7991038085606257;0.13817307031190054;-0.9904080990382614;11.1111111111111;46.0;82.0;29.545;-5.643332364873545;-15.504928242967486
2017;10;2;19;16.6;598.0;13.4;13.5;;16.0;15.5;-0.7561867352856464;-0.6543558828176267;-0.22756576774542975;-0.9737627130622907;10.5555555555555;46.0;84.5;29.56;-4.959292078222206;-13.62554300139567
2017;10;2;20;16.4;596.0;13.2;13.1;;16.0;15.3;-0.8771709061684182;-0.48017830164604075;-0.45535491080238105;-0.8903100051151597;11.1111111111111;45.5;79.0;29.56;-5.47232229321071;-15.035081932574531
2017;10;2;21;16.3;601.0;12.9;13.0;;15.9;15.3;-0.11401548719583715;-0.9934789724395258;-0.74528653662141;-0.6667443125598176;10.0;45.0;82.0;29.59;-4.959292078222206;-13.62554300139567
2017;10;2;22;16.3;599.0;12.8;12.8;;15.5;15.3;-0.32095390651187106;-0.9470948156836089;-0.8839100422630399;-0.4676569652924577;10.0;45.0;82.0;29.62;-5.301312221547875;-14.565235622181577
2017;10;2;23;16.2;598.0;12.6;12.5;;15.5;15.0;-0.513457424079286;-0.8581150701729136;-0.992993650569942;-0.11816771948285994;10.0;45.0;82.0;29.65;-3.4940571088840287;-13.039998654902423
2017;10;3;0;16.1;596.0;12.4;12.5;;15.5;15.0;0.4045304545284851;-0.9145245274780646;-0.9922289029593487;0.12442589815664325;10.0;45.0;82.0;29.665;-5.47232229321071;-15.035081932574531
2017;10;3;1;16.1;595.0;12.3;12.2;;15.5;15.0;0.2025809479275916;-0.9792655204472168;-0.8809440377626013;0.473220458486871;10.0;45.0;82.0;29.695;-8.250000000000007;-14.289419162443235
2017;10;3;2;16.0;598.0;12.1;12.0;;15.3;14.8;-0.00847963668215835;-0.9999640472345687;-0.7410681012063123;0.6714298692897649;10.0;45.0;82.0;29.71;-10.605995559827901;-12.639733311463136
2017;10;3;3;15.9;596.0;12.0;12.0;;15.0;14.8;0.8117804816258725;-0.5839627125521513;-0.4497327230665611;0.893163186547193;10.0;45.0;82.0;29.725;-10.927389364671171;-13.022755533022625
