time;year;month;day;hour;Text;gas;Tint;num
1.0;2016.0;11.0;9.0;15.0;3.88888888888888;2568.0;20.3;0
2.0;2016.0;11.0;9.0;16.0;3.88888888888888;2568.0;20.2;0
3.0;2016.0;11.0;9.0;17.0;3.88888888888888;2568.0;21.6;0
4.0;2016.0;11.0;9.0;18.0;3.88888888888888;2568.0;22.7;0
5.0;2016.0;11.0;9.0;19.0;3.33333333333333;2568.0;23.5;0
6.0;2016.0;11.0;9.0;20.0;2.5;2568.0;23.0;0
7.0;2016.0;11.0;9.0;21.0;2.22222222222222;2568.0;22.2;0
8.0;2016.0;11.0;9.0;22.0;1.11111111111111;2568.0;21.7;0
9.0;2016.0;11.0;9.0;23.0;1.11111111111111;2568.0;21.4;0
10.0;2016.0;11.0;10.0;0.0;-0.555555555555555;2568.0;21.1;0
11.0;2016.0;11.0;10.0;1.0;-1.11111111111111;2568.0;20.9;0
27.0;2016.0;11.0;10.0;17.0;1.66666666666666;9935.0;19.3;1
28.0;2016.0;11.0;10.0;18.0;2.77777777777777;8485.0;20.8;1
29.0;2016.0;11.0;10.0;19.0;2.5;9042.0;21.9;1
30.0;2016.0;11.0;10.0;20.0;0.555555555555555;8149.0;22.5;1
31.0;2016.0;11.0;10.0;21.0;1.66666666666666;7814.0;23.0;1
32.0;2016.0;11.0;10.0;22.0;0.555555555555555;5358.0;23.2;1
33.0;2016.0;11.0;10.0;23.0;-0.555555555555555;3014.0;22.6;1
34.0;2016.0;11.0;11.0;0.0;-1.11111111111111;670.0;21.9;1
35.0;2016.0;11.0;11.0;1.0;0.0;335.0;21.5;1
36.0;2016.0;11.0;11.0;2.0;-2.22222222222222;223.0;21.1;1
37.0;2016.0;11.0;11.0;3.0;-2.5;112.0;20.9;1
52.0;2016.0;11.0;11.0;18.0;8.88888888888889;9265.0;20.1;2
53.0;2016.0;11.0;11.0;19.0;8.88888888888889;8038.0;21.2;2
54.0;2016.0;11.0;11.0;20.0;8.33333333333333;9266.0;21.9;2
55.0;2016.0;11.0;11.0;21.0;7.77777777777777;8596.0;22.8;2
56.0;2016.0;11.0;11.0;22.0;8.33333333333333;3684.0;23.4;2
57.0;2016.0;11.0;11.0;23.0;8.88888888888889;2902.5;22.7;2
58.0;2016.0;11.0;12.0;0.0;8.88888888888889;2121.0;22.1;2
59.0;2016.0;11.0;12.0;1.0;8.88888888888889;1339.5;21.5;2
60.0;2016.0;11.0;12.0;2.0;8.88888888888889;558.0;21.1;2
61.0;2016.0;11.0;12.0;3.0;8.88888888888889;112.0;20.8;2
62.0;2016.0;11.0;12.0;4.0;10.0;112.0;20.5;2
76.0;2016.0;11.0;12.0;18.0;5.55555555555555;335.0;19.8;3
77.0;2016.0;11.0;12.0;19.0;6.11111111111111;6363.0;19.6;3
78.0;2016.0;11.0;12.0;20.0;4.44444444444444;9489.0;21.1;3
79.0;2016.0;11.0;12.0;21.0;3.88888888888888;8484.0;22.5;3
80.0;2016.0;11.0;12.0;22.0;2.77777777777777;7368.0;23.3;3
81.0;2016.0;11.0;12.0;23.0;2.5;2233.0;23.6;3
82.0;2016.0;11.0;13.0;0.0;2.5;335.0;22.7;3
83.0;2016.0;11.0;13.0;1.0;2.22222222222222;390.75;22.0;3
84.0;2016.0;11.0;13.0;2.0;2.22222222222222;446.5;21.6;3
85.0;2016.0;11.0;13.0;3.0;2.22222222222222;502.25;21.3;3
86.0;2016.0;11.0;13.0;4.0;2.22222222222222;558.0;21.1;3
77.0;2016.0;11.0;12.0;19.0;6.11111111111111;6363.0;19.6;4
78.0;2016.0;11.0;12.0;20.0;4.44444444444444;9489.0;21.1;4
79.0;2016.0;11.0;12.0;21.0;3.88888888888888;8484.0;22.5;4
80.0;2016.0;11.0;12.0;22.0;2.77777777777777;7368.0;23.3;4
81.0;2016.0;11.0;12.0;23.0;2.5;2233.0;23.6;4
82.0;2016.0;11.0;13.0;0.0;2.5;335.0;22.7;4
83.0;2016.0;11.0;13.0;1.0;2.22222222222222;390.75;22.0;4
84.0;2016.0;11.0;13.0;2.0;2.22222222222222;446.5;21.6;4
85.0;2016.0;11.0;13.0;3.0;2.22222222222222;502.25;21.3;4
86.0;2016.0;11.0;13.0;4.0;2.22222222222222;558.0;21.1;4
87.0;2016.0;11.0;13.0;5.0;2.22222222222222;335.0;20.9;4
172.0;2016.0;11.0;16.0;18.0;5.0;112.0;18.5;5
173.0;2016.0;11.0;16.0;19.0;5.0;8708.0;18.9;5
174.0;2016.0;11.0;16.0;20.0;5.0;8819.0;20.6;5
175.0;2016.0;11.0;16.0;21.0;3.88888888888888;7480.0;21.2;5
176.0;2016.0;11.0;16.0;22.0;3.88888888888888;4800.0;21.3;5
177.0;2016.0;11.0;16.0;23.0;3.88888888888888;223.0;21.3;5
178.0;2016.0;11.0;17.0;0.0;5.0;362.5;20.6;5
179.0;2016.0;11.0;17.0;1.0;5.0;502.0;20.1;5
180.0;2016.0;11.0;17.0;2.0;3.88888888888888;641.5;19.9;5
181.0;2016.0;11.0;17.0;3.0;3.88888888888888;781.0;19.7;5
182.0;2016.0;11.0;17.0;4.0;5.0;112.0;19.5;5
196.0;2016.0;11.0;17.0;18.0;2.5;112.0;18.0;6
197.0;2016.0;11.0;17.0;19.0;2.22222222222222;10047.0;18.6;6
198.0;2016.0;11.0;17.0;20.0;2.22222222222222;6585.0;20.1;6
199.0;2016.0;11.0;17.0;21.0;1.11111111111111;6250.0;20.6;6
200.0;2016.0;11.0;17.0;22.0;1.66666666666666;3348.0;21.0;6
201.0;2016.0;11.0;17.0;23.0;1.11111111111111;223.0;20.6;6
202.0;2016.0;11.0;18.0;0.0;1.11111111111111;112.0;20.0;6
203.0;2016.0;11.0;18.0;1.0;0.555555555555555;223.0;19.6;6
204.0;2016.0;11.0;18.0;2.0;1.11111111111111;112.0;19.3;6
205.0;2016.0;11.0;18.0;3.0;1.11111111111111;112.0;19.1;6
206.0;2016.0;11.0;18.0;4.0;1.11111111111111;112.0;18.9;6
220.0;2016.0;11.0;18.0;18.0;1.66666666666666;9823.0;18.0;7
221.0;2016.0;11.0;18.0;19.0;1.11111111111111;7479.0;19.6;7
222.0;2016.0;11.0;18.0;20.0;0.0;9935.0;20.5;7
223.0;2016.0;11.0;18.0;21.0;0.555555555555555;8818.0;21.4;7
224.0;2016.0;11.0;18.0;22.0;0.555555555555555;4799.0;22.1;7
225.0;2016.0;11.0;18.0;23.0;0.0;112.0;22.0;7
226.0;2016.0;11.0;19.0;0.0;0.0;670.0;21.3;7
227.0;2016.0;11.0;19.0;1.0;0.555555555555555;223.0;20.6;7
228.0;2016.0;11.0;19.0;2.0;-0.555555555555555;112.0;20.1;7
229.0;2016.0;11.0;19.0;3.0;0.555555555555555;112.0;19.8;7
230.0;2016.0;11.0;19.0;4.0;-0.555555555555555;112.0;19.5;7
243.0;2016.0;11.0;19.0;17.0;1.11111111111111;8707.0;19.6;8
244.0;2016.0;11.0;19.0;18.0;-0.555555555555555;9265.0;20.5;8
245.0;2016.0;11.0;19.0;19.0;-1.66666666666666;9153.0;21.1;8
246.0;2016.0;11.0;19.0;20.0;-1.66666666666666;670.0;21.7;8
247.0;2016.0;11.0;19.0;21.0;-2.22222222222222;5991.333333333333;22.5;8
248.0;2016.0;11.0;19.0;22.0;-2.22222222222222;11312.666666666666;22.5;8
249.0;2016.0;11.0;19.0;23.0;-3.33333333333333;16634.0;21.7;8
250.0;2016.0;11.0;20.0;0.0;-3.33333333333333;670.0;21.3;8
251.0;2016.0;11.0;20.0;1.0;-3.33333333333333;670.0;20.7;8
252.0;2016.0;11.0;20.0;2.0;-2.22222222222222;670.0;20.4;8
253.0;2016.0;11.0;20.0;3.0;-1.66666666666666;670.0;20.0;8
387.0;2016.0;11.0;25.0;17.0;2.22222222222222;4354.0;19.4;9
388.0;2016.0;11.0;25.0;18.0;1.66666666666666;13397.0;20.9;9
389.0;2016.0;11.0;25.0;19.0;1.66666666666666;8149.0;22.1;9
390.0;2016.0;11.0;25.0;20.0;1.11111111111111;8260.0;22.7;9
391.0;2016.0;11.0;25.0;21.0;0.0;7702.0;23.2;9
392.0;2016.0;11.0;25.0;22.0;-1.11111111111111;4019.0;23.5;9
393.0;2016.0;11.0;25.0;23.0;-1.66666666666666;670.0;22.7;9
394.0;2016.0;11.0;26.0;0.0;0.555555555555555;446.5;21.8;9
395.0;2016.0;11.0;26.0;1.0;1.11111111111111;223.0;21.3;9
396.0;2016.0;11.0;26.0;2.0;-1.66666666666666;112.0;20.9;9
397.0;2016.0;11.0;26.0;3.0;-1.11111111111111;223.0;20.6;9
459.0;2016.0;11.0;28.0;17.0;5.55555555555555;7815.0;19.0;10
460.0;2016.0;11.0;28.0;18.0;3.88888888888888;6698.0;20.5;10
461.0;2016.0;11.0;28.0;19.0;1.94444444444444;9489.0;21.7;10
462.0;2016.0;11.0;28.0;20.0;1.11111111111111;7591.0;22.3;10
463.0;2016.0;11.0;28.0;21.0;1.11111111111111;3795.0;22.7;10
464.0;2016.0;11.0;28.0;22.0;0.555555555555555;112.0;22.2;10
465.0;2016.0;11.0;28.0;23.0;0.0;893.0;21.5;10
466.0;2016.0;11.0;29.0;0.0;1.11111111111111;558.0;21.0;10
467.0;2016.0;11.0;29.0;1.0;3.05555555555555;223.0;20.7;10
468.0;2016.0;11.0;29.0;2.0;3.88888888888888;112.0;20.3;10
469.0;2016.0;11.0;29.0;3.0;3.88888888888888;112.0;20.1;10
483.0;2016.0;11.0;29.0;17.0;7.22222222222222;781.0;19.2;11
484.0;2016.0;11.0;29.0;18.0;7.22222222222222;781.0;20.5;11
485.0;2016.0;11.0;29.0;19.0;7.22222222222222;27351.0;21.3;11
486.0;2016.0;11.0;29.0;20.0;6.11111111111111;781.0;22.0;11
487.0;2016.0;11.0;29.0;21.0;5.55555555555555;781.0;22.7;11
488.0;2016.0;11.0;29.0;22.0;5.55555555555555;781.0;23.5;11
489.0;2016.0;11.0;29.0;23.0;4.44444444444444;781.0;22.8;11
490.0;2016.0;11.0;30.0;0.0;4.44444444444444;781.0;21.7;11
491.0;2016.0;11.0;30.0;1.0;4.44444444444444;781.0;21.2;11
492.0;2016.0;11.0;30.0;2.0;5.55555555555555;781.0;20.8;11
493.0;2016.0;11.0;30.0;3.0;5.55555555555555;781.0;20.6;11
531.0;2016.0;12.0;1.0;17.0;8.88888888888889;112196.0;20.4;12
532.0;2016.0;12.0;1.0;18.0;8.88888888888889;10047.0;21.8;12
533.0;2016.0;12.0;1.0;19.0;8.33333333333333;7703.0;22.9;12
534.0;2016.0;12.0;1.0;20.0;7.77777777777777;7145.0;23.5;12
535.0;2016.0;12.0;1.0;21.0;7.77777777777777;4131.0;24.0;12
536.0;2016.0;12.0;1.0;22.0;7.77777777777777;447.0;23.4;12
537.0;2016.0;12.0;1.0;23.0;6.94444444444444;491.6;22.7;12
538.0;2016.0;12.0;2.0;0.0;5.0;536.2;22.3;12
539.0;2016.0;12.0;2.0;1.0;3.88888888888888;580.8;22.0;12
540.0;2016.0;12.0;2.0;2.0;3.33333333333333;625.4;21.8;12
541.0;2016.0;12.0;2.0;3.0;1.94444444444444;670.0;21.6;12
555.0;2016.0;12.0;2.0;17.0;5.0;43762.0;20.3;13
556.0;2016.0;12.0;2.0;18.0;5.0;43762.0;21.6;13
557.0;2016.0;12.0;2.0;19.0;3.05555555555555;43762.0;22.7;13
558.0;2016.0;12.0;2.0;20.0;2.5;43762.0;23.5;13
559.0;2016.0;12.0;2.0;21.0;2.22222222222222;43762.0;24.1;13
560.0;2016.0;12.0;2.0;22.0;0.555555555555555;43762.0;24.7;13
561.0;2016.0;12.0;2.0;23.0;1.11111111111111;43762.0;24.0;13
562.0;2016.0;12.0;3.0;0.0;2.22222222222222;43762.0;23.4;13
563.0;2016.0;12.0;3.0;1.0;1.11111111111111;43762.0;22.7;13
564.0;2016.0;12.0;3.0;2.0;1.66666666666666;43762.0;22.2;13
565.0;2016.0;12.0;3.0;3.0;1.66666666666666;43762.0;21.9;13
556.0;2016.0;12.0;2.0;18.0;5.0;43762.0;21.6;14
557.0;2016.0;12.0;2.0;19.0;3.05555555555555;43762.0;22.7;14
558.0;2016.0;12.0;2.0;20.0;2.5;43762.0;23.5;14
559.0;2016.0;12.0;2.0;21.0;2.22222222222222;43762.0;24.1;14
560.0;2016.0;12.0;2.0;22.0;0.555555555555555;43762.0;24.7;14
561.0;2016.0;12.0;2.0;23.0;1.11111111111111;43762.0;24.0;14
562.0;2016.0;12.0;3.0;0.0;2.22222222222222;43762.0;23.4;14
563.0;2016.0;12.0;3.0;1.0;1.11111111111111;43762.0;22.7;14
564.0;2016.0;12.0;3.0;2.0;1.66666666666666;43762.0;22.2;14
565.0;2016.0;12.0;3.0;3.0;1.66666666666666;43762.0;21.9;14
566.0;2016.0;12.0;3.0;4.0;1.11111111111111;43762.0;21.6;14
578.0;2016.0;12.0;3.0;16.0;5.0;8708.0;20.8;15
