time;year;month;day;hour;Text;gas;Tint;num
504.0;2016.0;9.0;16.0;9.0;14.4444444444444;223.0;22.3;0
505.0;2016.0;9.0;16.0;10.0;16.1111111111111;223.0;22.6;0
506.0;2016.0;9.0;16.0;11.0;16.1111111111111;223.0;22.7;0
507.0;2016.0;9.0;16.0;12.0;17.2222222222222;223.0;23.0;0
508.0;2016.0;9.0;16.0;13.0;17.5;223.0;23.1;0
509.0;2016.0;9.0;16.0;14.0;17.2222222222222;223.0;23.1;0
510.0;2016.0;9.0;16.0;15.0;17.7777777777777;223.0;23.0;0
511.0;2016.0;9.0;16.0;16.0;17.5;781.0;22.9;0
512.0;2016.0;9.0;16.0;17.0;15.5555555555555;893.0;22.7;0
513.0;2016.0;9.0;16.0;18.0;13.8888888888888;3683.0;22.7;0
514.0;2016.0;9.0;16.0;19.0;12.5;2232.0;22.7;0
528.0;2016.0;9.0;17.0;9.0;14.4444444444444;1786.0;22.4;1
529.0;2016.0;9.0;17.0;10.0;15.0;223.0;22.7;1
530.0;2016.0;9.0;17.0;11.0;16.1111111111111;1004.0;22.8;1
531.0;2016.0;9.0;17.0;12.0;16.6666666666666;446.0;22.9;1
532.0;2016.0;9.0;17.0;13.0;17.2222222222222;223.0;23.0;1
533.0;2016.0;9.0;17.0;14.0;17.5;223.0;23.1;1
534.0;2016.0;9.0;17.0;15.0;17.5;223.0;23.0;1
535.0;2016.0;9.0;17.0;16.0;17.5;223.0;22.9;1
536.0;2016.0;9.0;17.0;17.0;16.1111111111111;223.0;22.7;1
537.0;2016.0;9.0;17.0;18.0;13.0555555555555;3571.0;22.6;1
538.0;2016.0;9.0;17.0;19.0;11.3888888888888;670.0;22.6;1
575.0;2016.0;9.0;19.0;8.0;13.0555555555555;223.0;22.0;2
576.0;2016.0;9.0;19.0;9.0;14.4444444444444;223.0;22.0;2
577.0;2016.0;9.0;19.0;10.0;15.0;223.0;22.2;2
578.0;2016.0;9.0;19.0;11.0;15.5555555555555;223.0;22.3;2
579.0;2016.0;9.0;19.0;12.0;16.1111111111111;223.0;22.4;2
580.0;2016.0;9.0;19.0;13.0;16.1111111111111;223.0;22.3;2
581.0;2016.0;9.0;19.0;14.0;16.6666666666666;223.0;22.2;2
582.0;2016.0;9.0;19.0;15.0;16.1111111111111;223.0;22.2;2
583.0;2016.0;9.0;19.0;16.0;16.1111111111111;223.0;22.1;2
