home_id;ti_1_coeff;te_1_coeff;phi_1_coeff;intercept;mse
home106;0.9699995556323256;0.017841912710541544;0.021225023158538494;0.2659455466394114;0.10685445849420444
home128;0.9307142337435691;0.03375169895353776;0.04434101307406254;0.7325021651570367;0.4246951667913227
home136;0.9707289237618182;0.011258537663364876;0.009382191298854817;0.4076275071698028;0.08023656470384509
home140;0.9482451081602824;0.043944726643783225;0.04560552723650525;0.2352050365975451;0.2779483291671508
home145;0.9302911580541129;0.03128807418753265;0.01926519337795208;0.8650888688291438;0.050561864017811264
home162;0.94728425187661;0.027069125130362515;0.021964987795910336;0.6980243076597077;0.25125503006110755
home171;0.8857670081303511;0.0534666410191806;0.0637985994098279;1.4031202535936202;0.5082085416017733
home225;0.9839570153798579;0.007369807335695817;0.007267737799372624;0.20101260544985422;0.054820053108740156
home228;0.9835595343083167;0.006755124570871519;0.005225157088966279;0.2309736974035168;0.060663659916809574
home242;0.9256385224100695;0.0346057849784578;0.03506872815864987;0.9641854514009616;0.4450522817483507
home249;0.9642465161334031;0.0059732795913705165;0.007270773420220421;0.6486887521257572;0.07641447572736407
home255;0.9646788519180725;0.01838187162476121;0.015849471810514392;0.3638476239370192;0.12616371822488173
home266;0.9635682882813971;0.009110315246113785;0.01853160585404686;0.4876746682511417;0.20675879717205273
home276;0.9586818005954594;0.008864577421874572;0.00966457343485192;0.5995254732708162;0.0713944871937603
home311;0.9591948726340084;0.019315142913197702;0.016106408907697392;0.6170024442563395;0.1609278277455968
home328;0.9403010553349818;0.0276684671587698;0.03587878974526277;0.6171178875039942;0.15072686816624664
home61;0.9115185718981086;0.02879261157976848;0.03571537332152189;1.3026205509627147;0.299704767029993
home62;0.9730652240657995;0.008687769231034596;0.006167696155352201;0.4116560687586741;0.05279066708060413
home63;0.9093279794016071;0.06194936938291249;0.06216179199416449;0.6221125827275671;0.26061389423838166
home65;0.9435769668708578;0.012436663716807763;0.014660780545713218;0.8884120333851371;0.11859101933008913
home73;0.991865897497111;0.019014341534392305;0.02335967718412204;-0.1958113754150368;0.39346240813276534
home90;0.9289707512722168;0.05044716340745005;0.06059726597501623;0.48679784600173903;0.42052270070025755
