features_combination;window_range;home_id;model_name;mse;rmse
gas_value|Text|pressure|wind_x;2;home162;6e8c98fc3b108f340e64384e1bd5721d;0.22526364872886182;0.47461947782287844
hum_value|gas_value|Text|pressure|wind_x;2;home162;3c5fe1964fb4928416d8306dba5b0ecf;0.2225330399013602;0.4717340775281771
gas_value|Text;2;home171;908cefd2e4a603b49d893902228dbcbe;0.3032899735906455;0.550717689556678
hum_value|gas_value|Text;2;home171;09ad145331d6abb0190cc215e1edfcee;0.30263294863770146;0.550120849121083
gas_value|Text|pressure;2;home171;daef272625f863a9979f0a7d34b79ff7;0.2996092870383333;0.5473657707953004
gas_value|Text|wind_x;2;home171;50679fab39ced1051e12097972de2b8a;0.4127675632628166;0.642469892884341
hum_value|gas_value|Text|pressure;2;home171;9a0429a5adfd8a9a0de36576cd7f257f;0.30142311103670894;0.5490201371868877
hum_value|gas_value|Text|wind_x;2;home171;b255aadbdd276ce411e685c39143e03a;0.411172155400537;0.6412270700777821
gas_value|Text|pressure|wind_x;2;home171;c08cea6782efd0bc6894107b86eb4e27;0.3983557451970672;0.6311542958715144
hum_value|gas_value|Text|pressure|wind_x;2;home171;682ba22fa3f8c0d7649114e0c65147c0;0.40944290524613147;0.6398772579535325
gas_value|Text;2;home225;df6d040f6f6b5c81a6d5d2174f38f31e;0.049337348431461245;0.2221201216267028
hum_value|gas_value|Text;2;home225;ea725c65221eba726cc62c400d420509;0.04887031132062058;0.22106630525844634
gas_value|Text|pressure;2;home225;81df9b8cf1dbf0adcdd0793bde1a346a;0.049218106914797215;0.2218515425116472
gas_value|Text|wind_x;2;home225;27a3e1206e2adce815f2b782dedd87d8;0.04323632044987853;0.20793345197413168
hum_value|gas_value|Text|pressure;2;home225;38b603b562f81891de7b3fa68a57adca;0.04881376251878466;0.2209383681454732
hum_value|gas_value|Text|wind_x;2;home225;fefb2b3e659871e01cbb31b4677c4363;0.04277187350537213;0.20681362021243216
gas_value|Text|pressure|wind_x;2;home225;5cca978fdeab2e648e5f1e536e8d31ae;0.04382490408735711;0.20934398507565752
hum_value|gas_value|Text|pressure|wind_x;2;home225;a6139d34f9b1fdceb1a6c6cd07780b45;0.04294017638619565;0.2072201157855956
gas_value|Text;2;home228;e6e5ccd6dacb1c1299f1e237d16576e4;0.04515017599644361;0.21248570774629433
hum_value|gas_value|Text;2;home228;6246ac79a7724ebaaa02ee3268b1baa7;0.045083669148798085;0.21232915284717283
gas_value|Text|pressure;2;home228;09cc566f011308f75f2423a67fc9a81f;0.04493988296074774;0.21199028977938528
gas_value|Text|wind_x;2;home228;641ad6ce15d66e9339a9d3158cc31b0c;0.04822461984617343;0.21960104700609565
hum_value|gas_value|Text|pressure;2;home228;44d9d5ef4447e397391780f3419507ed;0.04501498338224929;0.21216734758734504
hum_value|gas_value|Text|wind_x;2;home228;cdda9ffa19531db11cc3e15887332d6d;0.04844042523656831;0.22009185636131182
gas_value|Text|pressure|wind_x;2;home228;835a7ea72f352ce115e21494dd02e3f1;0.047289386994810736;0.21746123101557835
hum_value|gas_value|Text|pressure|wind_x;2;home228;b665c5ea32706c7a2f8e728798f6342b;0.047541188084253;0.21803941864775964
gas_value|Text;2;home242;26b84d9c1a8c77ec33eae037e06077d7;0.3165998469539601;0.5626720598661
hum_value|gas_value|Text;2;home242;a20a53fca615525d08f641555eca692c;0.3097353520526676;0.5565387246658292
gas_value|Text|pressure;2;home242;77e5719f06957298c71730aa846045d7;0.3163133319285554;0.5624174000940542
gas_value|Text|wind_x;2;home242;13a7540e729587b21536f3b0b3e14822;0.29860817819981;0.5464505267632286
hum_value|gas_value|Text|pressure;2;home242;475045188c4d0d07f0e0bc28fdc01780;0.30925557671887866;0.5561075226238885
hum_value|gas_value|Text|wind_x;2;home242;cb00fcb5e8eaa7bfb01142ffbb56c6b5;0.29888894393748255;0.5467073659074684
gas_value|Text|pressure|wind_x;2;home242;958f5e5a53c7421d1f821078b41483bb;0.29932469113418825;0.5471057403593826
hum_value|gas_value|Text|pressure|wind_x;2;home242;723d22bb63db930d15f6d31b1037c613;0.2926278316895142;0.5409508588490402
gas_value|Text;2;home249;8a15c63b07c1374874c1d15e44fb73f3;0.06769011010501635;0.26017323095394795
hum_value|gas_value|Text;2;home249;1a21a85e8c8b456bf8867a666b85993d;0.06596891123847846;0.25684413802631056
gas_value|Text|pressure;2;home249;a079c08689e2f1472218b12eb572b095;0.06703539393977968;0.2589119424433328
gas_value|Text|wind_x;2;home249;4cd2c4f7a7b2d829b2efb728e09bfc89;0.07655109457492104;0.2766786847137326
hum_value|gas_value|Text|pressure;2;home249;fb3ac014c733f50d07e3a5f4e1e5c8be;0.0659175532103225;0.25674413958320935
hum_value|gas_value|Text|wind_x;2;home249;43d4a0a1e114bcdac083c8f5ebd96b92;0.07536834971047289;0.27453296652765197
gas_value|Text|pressure|wind_x;2;home249;73c66d0cb3831eb22f5ca487db8832b3;0.07776159144621729;0.27885765445154503
hum_value|gas_value|Text|pressure|wind_x;2;home249;e06423cc772518896a0debba60202aa3;0.07565505105995543;0.27505463286401016
gas_value|Text;2;home255;270f75f8ae308f3435174a131c1d9ae1;0.09497055376518022;0.3081729283457264
hum_value|gas_value|Text;2;home255;45290a0d9b59fa1b1331495acc36a26b;0.09358760457719471;0.30592091229138735
gas_value|Text|pressure;2;home255;ce6d9e22cab5de437269a16861d002ab;0.09511207110181655;0.308402449895938
gas_value|Text|wind_x;2;home255;d8cefa4799ab25a50935894f8f51eba0;0.08711793809866009;0.29515748016721527
hum_value|gas_value|Text|pressure;2;home255;46c41eab295b84c673c82bd92f7d248a;0.0930494385235543;0.3050400605224735
hum_value|gas_value|Text|wind_x;2;home255;132e29c93a7a138bb0a0e7e18b1031e0;0.08793977666400858;0.2965464156991424
gas_value|Text|pressure|wind_x;2;home255;283d29ad6df430bf03ef552024519ffc;0.0872721644774461;0.2954186258133466
hum_value|gas_value|Text|pressure|wind_x;2;home255;fd1eeb156dc2f8855a1c6505f9570031;0.08730868426876945;0.2954804295867485
gas_value|Text;2;home266;87036eb14a2fa619f728e93786294a58;0.15381525631873735;0.39219288152481474
hum_value|gas_value|Text;2;home266;69a9b907c430c42ed7b4d9715e42ff6d;0.15526213763880362;0.39403316819628725
gas_value|Text|pressure;2;home266;33b03c7c083796a1547a8d937a45c1df;0.15250743467545674;0.39052200280580446
gas_value|Text|wind_x;2;home266;42ac44c0444da11a495bccedc7163a4d;0.1877930686793325;0.43335097632211755
