,year,month,day,hour,temp_value,hum_value,central_heat_flow_value,central_heat_return_value,gas_value,radiator_input_value,radiator_output_value
0,2017,2,9,11,14.0,535.0,11.6,9.5,670.0,,
1,2017,10,2,10,16.7,629.0,13.3,13.4,,15.5,14.8
2,2017,10,2,11,17.4,619.0,13.5,13.5,,15.9,15.2
3,2017,10,2,12,17.8,603.0,13.7,13.9,,16.3,15.4
4,2017,10,2,13,17.8,593.0,13.8,14.0,,16.5,15.7
5,2017,10,2,14,17.5,593.0,14.1,14.3,,16.5,15.8
6,2017,10,2,15,17.3,596.0,14.3,14.5,,16.5,15.8
7,2017,10,2,16,17.1,597.0,14.3,14.5,,16.5,15.8
8,2017,10,2,17,16.9,598.0,14.0,14.1,,16.4,15.6
9,2017,10,2,18,16.7,598.0,13.8,13.8,,16.0,15.5
10,2017,10,2,19,16.6,598.0,13.4,13.5,,16.0,15.5
11,2017,10,2,20,16.4,596.0,13.2,13.1,,16.0,15.3
12,2017,10,2,21,16.3,601.0,12.9,13.0,,15.9,15.3
13,2017,10,2,22,16.3,599.0,12.8,12.8,,15.5,15.3
14,2017,10,2,23,16.2,598.0,12.6,12.5,,15.5,15.0
15,2017,10,3,0,16.1,596.0,12.4,12.5,,15.5,15.0
16,2017,10,3,1,16.1,595.0,12.3,12.2,,15.5,15.0
17,2017,10,3,2,16.0,598.0,12.1,12.0,,15.3,14.8
18,2017,10,3,3,15.9,596.0,12.0,12.0,,15.0,14.8
19,2017,10,3,4,15.9,605.0,11.8,12.0,,15.0,14.8
20,2017,10,3,5,15.8,611.0,11.8,11.7,,15.0,14.7
21,2017,10,3,6,15.8,601.0,11.5,11.5,,15.0,14.5
22,2017,10,3,7,15.7,599.0,11.5,11.5,,15.0,14.5
23,2017,10,3,8,15.7,599.0,11.5,11.5,,15.0,14.5
24,2017,10,3,9,15.9,603.0,11.5,11.5,,15.0,14.5
25,2017,10,3,10,16.4,605.0,11.8,11.9,,15.3,14.7
26,2017,10,3,11,16.9,616.0,12.0,12.0,,15.5,14.9
27,2017,10,3,12,17.2,605.0,12.3,12.4,,16.0,15.0
28,2017,10,3,13,17.0,597.0,12.4,12.5,,,
29,2017,10,3,14,16.8,597.0,12.5,12.5,,,
30,2017,10,3,15,16.6,597.0,12.5,12.5,,16.0,15.3
31,2017,10,3,16,16.4,595.0,12.5,12.5,,15.5,15.3
32,2017,10,3,17,16.3,596.0,12.5,12.5,,15.5,15.0
33,2017,10,3,18,16.3,634.0,12.4,12.5,,15.5,15.0
34,2017,10,3,19,16.5,624.0,12.2,12.1,,15.5,15.0
35,2017,10,3,20,16.4,616.0,12.0,12.0,,15.5,15.0
36,2017,10,3,21,16.3,612.0,12.0,12.0,,15.5,15.0
37,2017,10,3,22,16.1,607.0,11.9,12.0,,15.5,14.9
38,2017,10,3,23,16.0,603.0,11.8,12.0,,15.4,14.8
39,2017,10,4,0,15.9,607.0,11.8,12.0,,15.0,14.8
40,2017,10,4,1,15.8,612.0,11.8,12.0,,15.0,14.8
41,2017,10,4,2,15.8,607.0,11.8,12.0,,15.0,14.6
42,2017,10,4,3,15.7,608.0,11.8,12.0,,15.0,14.5
43,2017,10,4,4,15.7,610.0,11.9,12.0,,15.0,14.5
44,2017,10,4,5,15.6,611.0,11.8,12.0,,15.0,14.5
45,2017,10,4,6,15.6,612.0,11.8,11.9,,15.0,14.5
46,2017,10,4,7,15.5,612.0,11.8,11.5,,14.9,14.5
47,2017,10,4,8,15.5,613.0,11.8,11.5,,14.8,14.4
48,2017,10,4,9,15.5,613.0,11.8,11.7,,15.0,14.4
49,2017,10,4,10,15.5,634.0,11.8,12.0,,15.0,14.4
50,2017,10,4,11,15.7,643.0,11.9,12.0,,15.0,14.5
51,2017,10,4,12,15.6,636.0,12.0,12.0,,15.0,14.5
52,2017,10,4,13,15.6,630.0,12.0,12.0,,15.0,14.5
53,2017,10,4,14,15.6,626.0,12.2,12.1,,15.0,14.5
54,2017,10,4,15,15.5,623.0,12.3,12.3,,15.0,14.5
55,2017,10,4,16,15.5,623.0,12.3,12.1,,15.0,14.4
56,2017,10,4,17,15.4,624.0,12.3,12.0,,15.0,14.4
57,2017,10,4,18,15.4,625.0,12.3,12.0,,14.7,14.3
58,2017,10,4,19,15.3,626.0,12.3,12.0,,14.5,14.3
59,2017,10,4,20,15.3,627.0,12.3,12.0,,14.5,14.3
60,2017,10,4,21,15.3,648.0,12.3,12.0,,14.5,14.3
61,2017,10,4,22,15.6,643.0,12.1,12.0,,14.9,14.3
62,2017,10,4,23,15.8,638.0,12.0,12.0,,15.0,14.3
63,2017,10,5,0,15.8,634.0,11.8,11.6,,15.0,14.3
64,2017,10,5,1,15.6,628.0,11.5,11.5,,14.7,14.3
65,2017,10,5,2,15.4,625.0,11.3,11.4,,14.5,14.3
66,2017,10,5,3,15.3,624.0,11.0,11.0,,14.5,14.0
67,2017,10,5,4,15.2,622.0,10.7,10.7,,14.5,14.0
68,2017,10,5,5,15.1,620.0,10.4,10.5,,14.0,13.9
69,2017,10,5,6,15.1,633.0,10.3,10.1,,14.0,13.8
70,2017,10,5,7,15.1,646.0,10.1,10.0,,14.0,13.8
71,2017,10,5,8,15.1,645.0,10.0,10.0,,14.0,13.8
72,2017,10,5,9,15.5,645.0,10.2,10.0,,14.4,13.9
73,2017,10,5,10,16.3,627.0,10.3,10.5,,14.8,14.1
74,2017,10,5,11,17.0,611.0,10.6,10.6,,15.0,14.5
75,2017,10,5,12,17.2,596.0,10.8,11.0,,15.5,14.8
76,2017,10,5,13,16.9,594.0,11.1,11.2,,15.5,14.8
77,2017,10,5,14,16.6,595.0,11.5,11.6,,15.5,14.8
78,2017,10,5,15,16.4,599.0,11.8,12.0,,15.5,14.8
79,2017,10,5,16,16.2,603.0,12.1,12.2,,15.5,14.8
