,year,month,day,hour,temp_value,hum_value,central_heat_flow_value,central_heat_return_value,gas_value,radiator_input_value,radiator_output_value
0,2016,11,9,14,20.2,509.0,42.6,37.2,,,
1,2016,11,9,15,20.3,480.0,21.3,18.1,,,
2,2016,11,9,16,20.2,475.0,53.5,37.7,2568.0,,
3,2016,11,9,17,21.6,474.0,67.4,52.4,,,
4,2016,11,9,18,22.7,462.0,67.1,52.9,,,
5,2016,11,9,19,23.5,453.0,62.9,51.2,,,
6,2016,11,9,20,23.0,452.0,29.9,26.0,,,
7,2016,11,9,21,22.2,459.0,18.0,15.0,,,
8,2016,11,9,22,21.7,463.0,14.5,11.6,,,
9,2016,11,9,23,21.4,466.0,12.1,10.2,,,
10,2016,11,10,0,21.1,462.0,11.3,9.6,,,
11,2016,11,10,1,20.9,458.0,10.5,9.2,,,
12,2016,11,10,2,20.7,455.0,9.9,8.9,,,
13,2016,11,10,3,20.5,454.0,9.6,8.5,,,
14,2016,11,10,4,20.3,455.0,9.5,8.5,,,
15,2016,11,10,5,20.1,454.0,9.3,8.5,,,
16,2016,11,10,6,20.4,455.0,49.9,38.3,,,
17,2016,11,10,7,21.1,447.0,33.2,29.5,,,
18,2016,11,10,8,20.6,450.0,19.1,14.0,40636.0,,
19,2016,11,10,9,20.2,451.0,13.0,10.1,223.0,,
20,2016,11,10,10,20.0,453.0,10.3,8.9,,,
21,2016,11,10,11,20.0,456.0,9.6,8.5,,,
22,2016,11,10,12,19.8,450.0,9.5,8.6,,,
23,2016,11,10,13,19.6,446.0,9.5,8.7,,,
24,2016,11,10,14,19.4,443.0,9.3,8.5,,,
25,2016,11,10,15,19.3,440.0,9.0,8.5,,,
26,2016,11,10,16,19.1,439.0,8.9,8.1,,,
27,2016,11,10,17,19.3,444.0,46.6,34.6,9935.0,,
28,2016,11,10,18,20.8,439.0,67.5,54.1,8485.0,,
29,2016,11,10,19,21.9,430.0,67.5,54.9,9042.0,,
30,2016,11,10,20,22.5,424.0,67.5,55.0,8149.0,,
31,2016,11,10,21,23.0,421.0,63.7,52.6,7814.0,,
32,2016,11,10,22,23.2,419.0,58.5,49.5,5358.0,,
33,2016,11,10,23,22.6,412.0,26.9,23.3,,,
34,2016,11,11,0,21.9,424.0,22.7,13.5,670.0,,
35,2016,11,11,1,21.5,427.0,14.7,10.7,335.0,,
36,2016,11,11,2,21.1,429.0,11.4,9.6,223.0,,
37,2016,11,11,3,20.9,430.0,10.2,8.9,112.0,,
38,2016,11,11,4,20.7,430.0,9.5,8.5,112.0,,
39,2016,11,11,5,20.5,431.0,9.1,8.2,,,
40,2016,11,11,6,20.6,434.0,37.9,29.9,4130.0,,
41,2016,11,11,7,20.6,434.0,20.3,16.5,223.0,,
42,2016,11,11,8,20.3,445.0,13.3,10.3,,,
43,2016,11,11,9,20.1,449.0,10.6,8.4,,,
44,2016,11,11,10,19.9,452.0,9.3,8.0,447.0,,
45,2016,11,11,11,19.7,455.0,9.2,8.0,112.0,,
46,2016,11,11,12,19.6,458.0,9.4,8.4,112.0,,
47,2016,11,11,13,19.4,460.0,9.8,8.9,112.0,,
48,2016,11,11,14,19.3,462.0,10.1,9.0,,,
49,2016,11,11,15,19.1,465.0,10.3,9.3,,,
50,2016,11,11,16,18.9,467.0,10.3,9.4,335.0,,
51,2016,11,11,17,18.9,470.0,28.3,20.7,6139.0,,
52,2016,11,11,18,20.1,469.0,67.2,54.6,9265.0,,
53,2016,11,11,19,21.2,458.0,67.1,54.9,8038.0,,
54,2016,11,11,20,21.9,453.0,66.5,54.4,9266.0,,
55,2016,11,11,21,22.8,473.0,67.1,55.2,8596.0,,
56,2016,11,11,22,23.4,462.0,60.5,46.4,3684.0,,
57,2016,11,11,23,22.7,468.0,,21.9,,,
58,2016,11,12,0,22.1,476.0,,13.8,,,
59,2016,11,12,1,21.5,474.0,13.9,11.6,,,
60,2016,11,12,2,21.1,473.0,12.9,10.9,558.0,,
61,2016,11,12,3,20.8,475.0,12.0,10.6,112.0,,
62,2016,11,12,4,20.5,476.0,11.8,10.5,,,
63,2016,11,12,5,20.3,477.0,11.6,10.5,,,
64,2016,11,12,6,20.2,479.0,28.1,21.1,6028.0,,
65,2016,11,12,7,21.3,479.0,62.4,51.9,7368.0,,
66,2016,11,12,8,21.7,476.0,42.5,37.1,1340.0,,
67,2016,11,12,9,21.1,494.0,21.7,18.2,,,
68,2016,11,12,10,20.8,501.0,16.1,13.7,,,
69,2016,11,12,11,20.6,511.0,14.2,12.5,670.0,,
70,2016,11,12,12,20.5,513.0,15.9,12.0,,,
71,2016,11,12,13,20.3,527.0,16.6,12.3,,,
72,2016,11,12,14,20.1,528.0,14.8,12.5,,,
73,2016,11,12,15,20.0,534.0,14.4,12.5,,,
74,2016,11,12,16,19.8,537.0,15.8,12.5,,,
75,2016,11,12,17,19.8,527.0,14.6,12.2,,,
76,2016,11,12,18,19.8,534.0,14.4,12.0,,,
77,2016,11,12,19,19.6,536.0,23.7,17.1,6363.0,,
78,2016,11,12,20,21.1,589.0,67.4,54.8,9489.0,,
79,2016,11,12,21,22.5,537.0,67.8,56.0,8484.0,,
80,2016,11,12,22,23.3,514.0,67.8,56.0,7368.0,,
81,2016,11,12,23,23.6,502.0,45.4,40.5,2233.0,,
82,2016,11,13,0,22.7,503.0,21.0,18.4,335.0,,
83,2016,11,13,1,22.0,502.0,15.1,13.4,,,
84,2016,11,13,2,21.6,496.0,12.7,11.6,,,
85,2016,11,13,3,21.3,492.0,11.7,10.8,,,
86,2016,11,13,4,21.1,488.0,11.2,10.4,558.0,,
87,2016,11,13,5,20.9,487.0,10.9,10.0,,,
88,2016,11,13,6,20.7,485.0,10.6,9.8,223.0,,
89,2016,11,13,7,20.5,484.0,10.4,9.5,,,
90,2016,11,13,8,20.4,489.0,10.4,9.5,223.0,,
91,2016,11,13,9,20.1,504.0,10.5,9.5,,,
92,2016,11,13,10,19.9,503.0,10.6,9.5,335.0,,
93,2016,11,13,11,19.8,511.0,11.0,9.5,,,
94,2016,11,13,12,19.7,512.0,10.9,9.5,,,
95,2016,11,13,13,19.5,513.0,10.8,9.9,,,
96,2016,11,13,14,19.4,515.0,14.0,11.1,,,
97,2016,11,13,15,20.2,520.0,63.0,50.3,,,
98,2016,11,13,16,21.2,501.0,41.2,36.4,,,
99,2016,11,13,17,20.8,530.0,22.4,19.0,,,
100,2016,11,13,18,20.6,533.0,19.8,15.4,,,
101,2016,11,13,19,21.7,523.0,67.1,55.0,,,
102,2016,11,13,20,22.5,510.0,43.0,38.1,,,
103,2016,11,13,21,21.7,522.0,22.5,18.7,,,
104,2016,11,13,22,21.5,542.0,18.1,14.1,,,
105,2016,11,13,23,21.2,535.0,18.8,12.6,,,
106,2016,11,14,0,20.8,528.0,16.9,12.5,,,
107,2016,11,14,1,20.6,527.0,,12.4,,,
108,2016,11,14,2,20.4,528.0,,12.3,,,
109,2016,11,14,3,20.2,529.0,,12.4,,,
110,2016,11,14,4,20.1,531.0,,12.5,,,
