home_id;ri;ro;ci;ce
home106;0.17792776284143103;0.651274455336969;5844.65593649501;463952736.18541235
home128;0.0729519237888109;0.26224918515636975;23553.292406104556;510063602.1181565
home136;0.057322968136491945;0.2810873220673139;174812.68259662666;10086185043.017107
home140;0.10297375798069339;0.32772722232356205;6824.624481578196;7804384.259953128
home145;0.22303912302388187;0.5717632584916513;21596.476911495458;455905329.03391737
home162;0.17255152370372676;0.4492264651159714;22035.92493444757;12948963851.492817
home171;0.11819768492665074;0.13938331585098304;33101.465235813324;10669380.522288105
home225;0.0019304865573312006;0.10713986753153033;29004.468544056042;11358441.077707589
home228;0.02997539813106267;0.315690323051162;18130.30914574415;1016905115.6205373
home242;0.027520703199647056;0.17165934859135115;60067.77273023379;9745268.748944696
home249;0.23798267181621058;0.4451668556772022;36563.28370328542;3475969920.3196206
home255;0.06217684792798759;0.27524829575302445;24602.981779108384;10297766137.229345
home266;0.07777085654960897;0.3368171770636132;30981.688471334124;187431939.89139792
home276;0.19655849682943344;0.3564293937303761;71007.17684918398;17363727379.914543
home311;0.28693186236075113;0.4649925339004711;23877.25525092128;10338618.214536227
home328;0.00299423950876349;0.19145332702382484;6710.597849488106;11732078.57708819
home61;0.0383031509588301;0.21332623299773898;11416.97216832694;1118690581.6133938
home62;0.22250719744875563;0.5839898583056555;28073.99916775445;5334115548.68451
home63;0.003229430328282486;0.09645539309401328;16567.23100298404;1180164114.4140766
home65;0.0449598218453614;0.2647365563117668;21711.18645444243;8014724649.847553
home73;0.07128765391392577;0.297283961019782;18745.437380216517;2914408952.5039387
home90;0.08299813057669225;0.3876104383399459;10133.79659899997;3264063852.5254974
