home_id;Rmean;Cmean;Rstd;Cstd;mse;rmse
home106;1.2845497262072871;2.319973494177974;0.3145981187242472;0.7925196015033473;3,175986975;1,782129899
home128;1.2667486641095145;2.237471040020373;0.3252064237050701;0.8335195603277342;3,971550788;1,992875006
home136;1.2818019983844635;2.288450275687853;0.3156495266181042;0.7954765479934268;3,611936539;1,900509547
home140;1.270342338836186;2.243122551267757;0.3199897759134025;0.819121312075578;2,949104584;1,717295718
home145;1.2866849864276153;2.348965820684256;0.3113295552414352;0.7665608080517733;1,558773845;1,248508648
home162;1.2677018767448152;2.260709056102238;0.3219091709926804;0.8060514814497868;4,763912539;2,182638893
home171;1.2835129491345874;2.3489789352389097;0.3132536736375561;0.7745513072971973;3,495754338;1,869693648
home225;1.2921721802601078;2.3566010005838685;0.310822712699481;0.7681846570348845;3,903354554;1,975690905
home228;1.287343750676543;2.326140466021396;0.3137429750002866;0.7820266763972077;4,009298421;2,002323256
home242;1.2587485681191086;2.1929274705575974;0.3265638779615657;0.841125340942443;5,470573443;2,338925703
home249;1.2885390585932597;2.3237325010964485;0.312565372336437;0.7900995667103894;5,117330873;2,262151824
home255;1.2638217713785995;2.2664136087393496;0.3284383759618707;0.8128157988476208;3,43734119;1,854006793
home266;1.2768616723919417;2.268369008212611;0.3206225333675594;0.8170817132179726;4,374116758;2,09143892
home276;1.2800627535255522;2.308387520465285;0.3181968336016648;0.7923784071606426;3,788748144;1,946470689
home311;1.2962510390702735;2.3901583118015224;0.3024569175488779;0.7525530639076001;4,117621574;2,029192345
home328;1.2835116372202475;2.415841657598651;0.3216619291067282;0.7402592880534424;1,761023298;1,32703553
home61;1.2560304697834443;2.1089595217987607;0.3215560633066487;0.8610484113114784;4,18509925;2,045751512
home62;1.2797654562127605;2.262129364898187;0.3139393339479198;0.8040047363817252;3,50593321;1,872413739
home63;1.2259914397328024;2.079594380613244;0.3491283889700232;0.886575344144175;2,298124331;1,515956573
home65;1.276932688933351;2.2220272836321056;0.31616600780417;0.82390313816511;3,883708134;1,970712596
home73;1.3096086465226855;2.4049735573319198;0.3030205448598445;0.771289267648681;3,392948656;1,841995835
home90;1.2349631582744538;2.0593125613321632;0.3349185732267725;0.8706188447752096;4,134005226;2,033225326
