year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y;t;Ti_1;Te_1;phi_1;phi_corrected
2017;9;14;20;25.7;423.0;40.4;41.1;948.0;;;-0.7743279729078816;0.6327844738711365;-0.9963210364631048;-0.0856994299927636;10.0;45.5;84.5;29.68;-1.4235047480638634;-5.312592044589875;0;;;0.0;0.0
2017;9;14;21;23.2;478.0;29.6;32.5;;;;-0.6234752773612812;0.7818430651475228;-0.987639897296958;0.1567400180785174;10.0;46.0;87.0;29.71;-2.7470187013145497;-5.891000615738223;1;25.7;10.0;0.0;0.0
2017;9;14;22;22.4;498.0;26.3;28.7;;;;-0.4445817815975623;0.8957382650481878;-0.8650317459244402;0.5017171300074522;10.0;46.0;87.0;29.71;-2.0521208599540164;-5.63815572471545;2;23.2;10.0;0.0;0.0
2017;9;14;23;22.0;507.0;24.9;26.5;;;;-0.9881017310419876;0.1538017201198585;-0.7187619466769812;0.6952562577993213;10.5555555555555;46.0;84.5;29.71;-2.223130931616851;-6.108002035108403;3;22.4;10.0;0.0;0.0
2017;9;15;0;21.7;513.0;24.1;25.1;;;;-0.9334484744462852;0.3587115074177337;-0.4203456987448077;0.907364035845999;10.0;46.0;87.0;29.74;-1.2940952255126033;-4.8296291314453415;4;22.0;10.5555555555555;0.0;0.0
2017;9;15;1;21.5;517.0;23.6;24.3;;;;-0.8368133732845872;0.547488244889395;-0.189480069904229;0.9818845670999664;12.2222222222222;46.0;77.0;29.74;1.2940952255126057;-4.829629131445341;5;21.7;10.0;0.0;0.0
2017;9;15;2;21.4;520.0;23.2;23.7;;;;-0.9300252868743736;-0.3674955316384665;0.0525368870314108;0.9986189841481328;10.5555555555555;47.0;88.0;29.755;-1.4235047480638634;-5.312592044589875;6;21.5;12.2222222222222;0.0;0.0
2017;9;15;3;21.2;522.0;23.0;23.2;;;;-0.986607875295088;-0.1631100867687591;0.4084495063730408;0.9127809160711126;11.1111111111111;45.5;79.0;29.755;;;7;21.4;10.5555555555555;0.0;0.0
2017;9;15;4;21.0;524.0;22.5;22.9;;;;-0.99881777512922;0.0486112341533827;0.6162313086787161;0.787565219016252;7.5;43.0;90.0;29.755;-3.889087296526012;-3.889087296526011;8;21.2;11.1111111111111;0.0;0.0
2017;9;15;5;20.9;525.0;22.4;22.5;;;;-0.9661058461392144;0.258146264849276;0.8583998308459536;0.5129812183731859;7.22222222222222;43.0;93.0;29.77;-2.500000000000002;-4.330127018922193;9;21.0;7.5;0.0;0.0
2017;9;15;6;20.8;530.0;22.3;22.2;316.0;;;-0.7683280689596227;-0.6400562306928801;0.9566681511788648;0.291180439796379;7.77777777777777;44.0;90.0;29.77;-0.4793565851121203;-5.4790708395046;10;20.9;7.22222222222222;0.0;0.0
2017;9;15;7;21.5;502.0;39.6;34.4;22752.0;;;-0.8860237369943013;-0.4636398790900685;0.9973561089665192;-0.0726690574258724;10.5555555555555;45.5;82.0;29.785;-3.3809460939255995;-7.250462296293198;11;20.8;7.77777777777777;0.0;0.0
2017;9;15;8;23.3;472.0;39.8;43.0;1264.0;;;-0.9638704880008148;-0.2663713242094033;0.9505088170950432;-0.3106975838730992;12.2222222222222;45.0;72.0;29.8;-0.5229344564859495;-5.977168188550474;12;21.5;10.5555555555555;0.0;0.0
