year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y;t;Ti_1;Te_1;phi_1;phi_corrected
2017;12;19;11;16.9;650.0;;;112.0;;;0.0877401402586923;-0.9961433972011184;-0.179937280530012;-0.9836780850844772;11.1111111111111;48.0;88.0;30.225;-8.356238925925012;-9.958577760546714;0;;;0.0;181.18724869882055
2017;12;19;12;17.3;627.0;51.4;37.1;15877.0;;;0.8641845479513024;-0.503174986542657;-0.4115156021787207;-0.911402715139408;11.1111111111111;48.0;88.0;30.21;-6.5961290180370336;-9.420248509323404;1;16.9;11.1111111111111;181.18724869882055;360.36351176346415
2017;12;19;13;18.1;631.0;60.9;50.2;6934.0;;;0.7386429248261523;-0.6740968992691385;-0.7119772967857437;-0.7022024842320518;11.1111111111111;49.0;91.0;30.21;-5.735764363510464;-8.191520442889916;2;17.3;11.1111111111111;360.36351176346415;293.5454730099164
2017;12;19;14;18.2;628.0;35.9;33.3;;;;0.5798808366097519;-0.8147013043642278;-0.8601194179911787;-0.5100927237223797;11.1111111111111;50.0;94.0;30.21;-7.000000000000006;-12.12435565298214;3;18.1;11.1111111111111;293.5454730099164;163.90669831170348
2017;12;19;15;17.8;614.0;23.1;22.0;;;;0.9999940125504472;0.0034604715366508;-0.986071432250476;-0.1663223692096019;11.1111111111111;48.0;88.0;30.195;-3.249191361593859;-8.927079897466127;4;18.2;11.1111111111111;163.90669831170348;92.30231596893212
2017;12;19;16;17.5;614.0;19.7;18.7;1563.0;;;0.9782363830184122;-0.2074935636087401;-0.9971061894669796;0.0760213583582932;11.1111111111111;48.0;88.0;30.18;-7.778174593052024;-7.778174593052022;5;17.8;11.1111111111111;92.30231596893212;156.80070063159087
2017;12;19;17;18.1;621.0;58.6;47.2;9613.0;;;0.9124825727598064;-0.4091155758580265;-0.9029167266875788;0.4298155239958048;11.1111111111111;48.0;88.0;30.18;-8.356238925925012;-9.958577760546714;6;17.5;11.1111111111111;156.80070063159087;184.10548198110203
2017;12;19;18;18.5;625.0;44.3;41.2;1899.0;;;0.8056898593507018;-0.5923376153338957;-0.7728462815256743;0.6345932753598468;11.1111111111111;48.0;88.0;30.18;-4.750000000000004;-8.227241335952165;7;18.1;11.1111111111111;184.10548198110203;152.73729012430445
2017;12;19;19;18.4;633.0;28.5;25.8;336.0;;;0.9486938299398264;0.3161961685949145;-0.492639721863443;0.8702333620600335;11.1111111111111;47.0;85.0;30.18;-11.313708498984765;-11.31370849898476;8;18.5;11.1111111111111;152.73729012430445;129.61141710538567
2017;12;19;20;18.3;636.0;23.3;21.3;;;;0.9940387290787628;0.1090275428113373;-0.2685879583200403;0.9632551627920156;11.1111111111111;48.0;88.0;30.18;-13.022755533022629;-10.927389364671168;9;18.4;11.1111111111111;129.61141710538567;108.9512586403741
2017;12;19;21;18.2;631.0;20.0;19.3;;;;0.9946767369867512;-0.1030445966433432;-0.0287291896012476;0.9995872316435698;11.6666666666666;48.0;85.0;30.18;-9.641814145298092;-11.490666646784668;10;18.3;11.1111111111111;108.9512586403741;98.84607027105362
2017;12;19;22;18.2;637.0;19.1;18.5;;;;0.6581431220434485;0.7528928415829854;0.3329784641627646;0.9429344316567332;11.6666666666666;48.0;85.0;30.165;-10.606601717798217;-10.606601717798211;11;18.2;11.6666666666666;98.84607027105362;92.2038310224019
2017;12;19;23;18.2;640.0;18.1;17.7;223.0;;;0.8021112742407587;0.5971746007122761;0.55024216042455;0.835005128661689;12.2222222222222;50.0;88.0;30.165;-9.177222981616742;-13.106432708623863;12;18.2;11.6666666666666;92.2038310224019;72.72109651430905
2017;12;20;0;18.0;630.0;18.8;17.8;;;;0.9100044723708042;0.4145984325406144;0.813908423080432;0.5809931831258647;11.1111111111111;48.0;88.0;30.15;-5.750000000000005;-9.959292143521042;13;18.2;12.2222222222222;72.72109651430905;57.32883841724286
2017;12;20;1;17.8;625.0;17.9;17.6;;;;0.1865216445590811;0.9824508517533972;0.9298634758919212;0.3679047651256972;11.6666666666666;49.0;88.0;30.15;-10.927389364671171;-13.022755533022623;14;18.0;11.1111111111111;57.32883841724286;41.125851444290646
2017;12;20;2;17.6;622.0;17.3;17.1;;;;0.3895039993796733;0.9210247740789818;0.9999633543497468;0.0085609554141436;12.2222222222222;50.0;88.0;30.15;-11.313708498984765;-11.31370849898476;15;17.8;11.6666666666666;41.125851444290646;33.608160939295885
2017;12;20;3;17.5;621.0;17.0;16.8;;;;0.57496841206694;0.8181756077549742;0.9725998170951458;-0.2324856894230028;12.2222222222222;50.0;88.0;30.15;-8.890434763441219;-12.69685668647937;16;17.6;12.2222222222222;33.608160939295885;26.923066073348505
2017;12;20;4;17.4;621.0;17.9;17.0;782.0;;;0.7345736207739654;0.6785289939737479;0.8237364693856866;-0.566972864433567;11.1111111111111;50.0;94.0;30.15;-9.320420340454822;-11.10764442522518;17;17.5;12.2222222222222;26.923066073348505;22.235392199687308
2017;12;20;5;17.3;622.0;17.5;17.1;;;;-0.1302650561991039;0.9914792055981024;0.6629680173332385;-0.7486477195538865;11.1111111111111;50.0;94.0;30.15;-8.999026535611552;-10.72462220366569;18;17.4;11.1111111111111;22.235392199687308;17.691077620035404
2017;12;20;6;17.2;622.0;17.3;16.8;112.0;;;0.0817449159687198;0.9966532841029858;0.3490739038253379;-0.9370951977617528;12.2222222222222;51.0;91.0;30.18;-3.5922552247959496;-7.703616189811522;19;17.3;11.1111111111111;17.691077620035404;10.796507381917891
2017;12;20;7;17.1;624.0;38.2;21.4;9618.0;;;0.2900784105909621;0.9570028817663097;0.1131461582262969;-0.9935783546749748;12.2222222222222;52.0;94.0;30.195;-6.000000000000005;-10.392304845413262;20;17.2;12.2222222222222;10.796507381917891;46.983298556416
2017;12;20;8;18.0;658.0;55.4;42.0;15550.0;;;-0.6141951077886588;0.789154211525528;-0.2520564241059168;-0.9677125394800556;11.1111111111111;52.0;100.0;30.21;-4.860110010018049;-10.422539550921472;21;17.1;12.2222222222222;46.983298556416;52.940626833959584
2017;12;20;9;18.2;695.0;39.9;25.5;224.0;;;-0.4339685437082498;0.9009280232469966;-0.4776679987721078;-0.8785404276122127;11.1111111111111;50.0;94.0;30.24;-4.01487348653665;-8.609923976848172;22;18.0;11.1111111111111;52.940626833959584;35.9402682069104
2017;12;20;10;17.8;671.0;23.2;20.8;;;;-0.2342242446405952;0.972182597675222;-0.7618679464817801;-0.6477323769301913;11.1111111111111;49.0;91.0;30.27;-2.1999618833714254;-8.21036952345708;23;18.2;11.1111111111111;35.9402682069104;42.68396322114944
2017;12;20;11;18.0;655.0;38.1;33.1;4807.0;;;-0.0239457103138149;0.9997132603689756;-0.8954253838408539;-0.4452116148231754;11.1111111111111;48.0;88.0;30.285;-4.588611490808371;-6.553216354311933;24;17.8;11.1111111111111;42.68396322114944;42.21326480264892
2017;12;20;12;18.0;644.0;23.3;22.7;;;;-0.8302869727993885;0.5573361129512672;-0.9956584505065316;-0.093081952788565;11.1111111111111;47.0;85.0;30.3;-5.463694682335586;-6.511377766511313;25;18.0;11.1111111111111;42.21326480264892;39.70447561082295
2017;12;20;13;18.0;637.0;37.5;32.2;5031.0;;;-0.6940862595118051;0.7198918421241562;-0.9887745464000072;0.149415181261678;10.0;46.0;87.0;30.3;-3.169636963055249;-6.797308402774873;26;18.0;11.1111111111111;39.70447561082295;42.49124921188001
2017;12;20;14;18.1;629.0;24.6;24.0;;;;-0.5266690171281698;0.8500704361388223;-0.868726783835163;0.4952916060740521;10.0;45.0;82.0;30.3149999999999;-2.3941410032796857;-6.577848345501358;27;18.0;10.0;42.49124921188001;41.84083614910646
2017;12;20;15;18.1;626.0;37.5;31.8;4248.0;;;-0.99817377948463;0.0604078301991491;-0.7238955429399516;0.689909590389692;8.88888888888889;45.0;87.0;30.33;-2.5651510749425204;-7.047694655894311;28;18.1;10.0;41.84083614910646;45.054366724928386
2017;12;20;16;18.2;623.0;25.6;25.0;;;;-0.9629886958949266;0.2695417807661523;-0.4270596664201628;0.904223446564564;7.77777777777777;44.0;90.0;30.33;-1.682323793166384;-6.278517870878944;29;18.1;8.88888888888889;45.054366724928386;44.60063593254902
2017;12;20;17;18.2;635.0;20.7;20.0;;;;-0.884493196297684;0.4665530899084333;-0.1967527365927708;0.9804531404627432;6.66666666666666;42.0;93.0;30.36;-2.5357095704442;-5.4378467222198985;30;18.2;7.77777777777777;44.60063593254902;46.00924950429908
2017;12;20;18;18.3;632.0;45.8;35.9;10171.0;;;-0.8914393246535929;-0.4531400781890146;0.1693290724599798;0.9855595695947774;7.22222222222222;43.0;93.0;30.36;-5.142300877492316;-6.128355544951823;31;18.2;6.66666666666666;46.00924950429908;61.6009063988849
2017;12;20;19;18.9;633.0;53.8;45.4;3691.0;;;-0.9669501210754462;-0.2549656120973569;0.4016726207115574;0.9157833290526256;7.22222222222222;43.0;93.0;30.36;-4.000000000000004;-6.928203230275508;32;18.3;7.22222222222222;61.6009063988849;63.98003151870427
2017;12;20;20;19.1;634.0;37.6;34.6;893.0;;;-0.9989723363946948;-0.0453240677579207;0.7043707193241303;0.7098322969256945;7.22222222222222;43.0;93.0;30.36;-2.5651510749425204;-7.047694655894311;33;18.9;7.22222222222222;63.98003151870427;56.67149843602682
2017;12;20;21;18.9;631.0;25.1;23.9;;;;-0.986065771496986;0.1663559265011432;0.8545739586309653;0.519329711483756;7.5;43.0;90.0;30.375;-4.648800879147699;-9.969385657403146;34;19.1;7.22222222222222;56.67149843602682;52.7597508253041
2017;12;20;22;18.8;627.0;20.9;20.4;;;;-0.7048806531081195;-0.7093259228830361;0.9544835992548047;0.2982634049855819;7.22222222222222;43.0;93.0;30.36;-3.3809460939255995;-7.250462296293198;35;18.9;7.5;52.7597508253041;46.61344974265957
