config;model_path;epoch;valid_mse;test_mse
home136_2_hum_value_gas_value_Text_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\30c02d17ed9fdf7cda703cfa9e69868a.h5;37;0.07772555202245712;0.027730005845267882
home136_2_hum_value_gas_value_Text_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\8b33ae9c5a91624249690290ed9cef56.h5;25;0.05919380486011505;0.02421895551286461
home136_2_hum_value_gas_value_Text_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\ccf72641cc60b3c0d3e70ca78d31f4fb.h5;27;0.09335807710886002;0.041131413060187035
home136_2_hum_value_gas_value_Text_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\d87d4aaefadd9ed9dfa35b0238d13946.h5;54;0.03158695250749588;0.01256656452215079
home136_2_gas_value_Text_pressure_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\9763ff0d1990d00fc2b9df6f93a84d5e.h5;29;0.056942254304885864;0.032387634763667496
home136_2_gas_value_Text_pressure_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\fde68c8a53b1c4254945a4e78c48b47a.h5;27;0.07143308967351913;0.024344722978494195
home136_2_gas_value_Text_pressure_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\935986e0d14619d93f8647d6e5a2f993.h5;25;0.09787454456090927;0.031025499466838878
home136_2_gas_value_Text_pressure_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\2c5ae0d505ec986623832dc59ec33d62.h5;17;0.07729407399892807;0.02970305911496471
home136_2_hum_value_gas_value_Text_pressure_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\2dd53033e866137818db86ed3f02f708.h5;33;0.09281021356582642;0.04121719306848296
home136_2_hum_value_gas_value_Text_pressure_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\1789b586a8d9c4ade0e35c1fa7836722.h5;25;0.0794563740491867;0.04290328871975635
home136_2_hum_value_gas_value_Text_pressure_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\14889fed4786c6da190781bb1e75db88.h5;23;0.07841659337282181;0.03647856625693665
